"FIPS","name","state","pop2010","pop2000","age_under_5","age_under_18","age_over_65","female","black","hispanic","white_not_hispanic","no_move_in_one_plus_year","foreign_born","foreign_spoken_at_home","hs_grad","bachelors","mean_work_travel","home_ownership","housing_multi_unit","median_val_owner_occupied","persons_per_household","per_capita_income","poverty","sales_per_capita","median_household_income","fed_spending","density","area"
1001,"Autauga County","Alabama",54571,43671,6.6,26.8,12,51.3,17.7,2.4,77.2,86.3,2,3.7,85.3,21.7,25.1,77.5,7.2,133900,2.7,24568,10.6,12003,53255,331142,91.8,594.44
1003,"Baldwin County","Alabama",182265,140415,6.1,23,16.8,51.1,9.4,4.4,83.5,83,3.6,5.5,87.6,26.8,25.8,76.7,22.6,177200,2.5,26469,12.2,17166,50147,1119082,114.6,1589.78
1005,"Barbour County","Alabama",27457,29038,6.2,21.9,14.2,46.9,46.9,5.1,46.8,83,2.8,4.7,71.9,13.5,23.8,68,11.1,88200,2.52,15875,25,6334,33219,240308,31,884.88
1007,"Bibb County","Alabama",22915,20826,6,22.7,12.7,46.3,22,1.8,75,90.5,0.7,1.5,74.5,10,28.3,82.9,6.6,81200,3.02,19918,12.6,5804,41770,163201,36.8,622.58
1009,"Blount County","Alabama",57322,51024,6.3,24.6,14.7,50.5,1.3,8.1,88.9,87.2,4.7,7.2,74.7,12.5,33.2,82,3.7,113700,2.73,21070,13.4,5622,45549,294114,88.9,644.78
1011,"Bullock County","Alabama",10914,11714,6.8,22.3,13.5,45.8,70.2,7.1,21.9,88.5,1.1,3.8,74.7,12,28.1,76.9,9.9,66300,2.85,20289,25.3,3995,31602,108846,17.5,622.81
1013,"Butler County","Alabama",20947,21399,6.5,24.1,16.7,53,43.4,0.9,54.1,92.8,1.1,1.6,74.8,11,25.1,69,13.7,70200,2.58,16916,25,11326,30659,195055,27,776.83
1015,"Calhoun County","Alabama",118572,112249,6.1,22.9,14.3,51.8,20.6,3.3,73.6,82.9,2.5,4.5,78.5,16.1,22.1,70.7,14.3,98200,2.46,20574,19.5,13678,38407,1830659,195.7,605.87
1017,"Chambers County","Alabama",34215,36583,5.7,22.5,16.7,52.2,38.7,1.6,58.1,86.2,0.9,1.6,71.8,10.8,23.6,71.4,8.7,82200,2.51,16626,20.3,7620,31467,294718,57.4,596.53
1019,"Cherokee County","Alabama",25989,23988,5.3,21.4,17.9,50.4,4.6,1.2,92.1,88.1,0.5,1.4,73.4,10.5,26.2,77.5,4.3,97100,2.22,21322,17.6,7613,40690,184642,46.9,553.7
