"lon","lat","cond","cond2","mmi"
-86.8881569446,33.2234153863,"Poor",1,29.58
-86.7756235789,33.4249179982,"Poor",1,22.75
-87.0838133469,31.6766356078,"Poor",1,34.25
-86.3236283676,33.8727306375,"Good",3,49.65
-86.3618639019,32.9938691275,"Poor",1,24.4
-87.7379619301,34.0918046803,"Poor",1,25.68
-85.7596263615,33.7787396068,"Fair",2,39.48
-87.1454714299,33.3581166777,"Fair",2,35.5
-85.6111694073,34.7158619165,"Poor",1,27.72
-87.0420279967,34.950921774,"Poor",1,13.65
-85.5035713713,33.2601498251,"Good",3,47.65
-85.720314953,32.4859421767,"Good",3,80.53
-87.0817517199,31.0868632678,"Good",3,76.57
-87.7620873765,34.6950583546,"Fair",2,35.87
-86.3624686857,32.9323161068,"Poor",1,28.28
-87.5326477057,32.913830141,"Poor",1,22.4
-86.7518994289,33.4128126746,"Good",3,54.8
-85.6088131194,31.3438086142,"Good",3,69.98
-88.0521331098,31.6873965212,"Fair",2,46.08
-87.0100826315,32.1590456075,"Good",3,63.62
-86.7411054328,34.0037812827,"Fair",2,30.82
-84.9669874624,32.433288853,"Poor",1,32.78
-87.9034605265,31.1989281552,"Poor",1,40.6
-87.5283180524,32.1242205681,"Poor",1,22.25
-87.0622965175,34.9086292212,"Poor",1,3.7
-85.4938387699,33.6240050263,"Fair",2,43.68
-85.7660150744,31.8680651323,"Poor",1,37.4
-87.0298599907,33.1583489239,"Good",3,59.12
-88.0503670334,34.5073437534,"Good",3,69.08
-86.1307302106,33.7921442191,"Poor",1,3.83
-88.4009558661,31.3001468611,"Poor",1,20.48
-87.5037758242,33.2431203595,"Poor",1,18.35
-87.80278113,33.8511661975,"Fair",2,45.82
-85.3249710542,32.9854620224,"Poor",1,24.15
-87.1982608034,32.9703677702,"Good",3,55.37
-86.9063677566,32.1855382732,"Fair",2,52.37
-90.4500669033,36.1103863091,"Fair",2,48.4
-91.8122988423,35.0086808189,"Poor",1,11.67
-92.8358351813,36.244689812,"Good",3,54.05
-94.1886220724,34.5065574531,"Fair",2,35.38
-91.2701895746,36.2182961347,"Good",3,64.78
-93.6035093693,34.9860929455,"Good",3,68.12
-92.3803390179,34.4272449709,"Poor",1,29.28
-93.4905116679,33.8813210605,"Poor",1,33.9
-89.8793286303,35.6259809245,"Poor",1,31.63
-91.1054194689,34.3527039424,"Poor",1,15.12
-92.2074763101,33.6451774034,"Poor",1,15.03
-90.6458847917,34.6950009294,"Poor",1,20.18
-93.7440894876,35.6781747934,"Good",3,61.87
-92.0226124733,33.556304426,"Poor",1,31.48
-93.360684914,34.9288777438,"Poor",1,0
-93.4422595552,34.0648809096,"Good",3,57.12
-90.7700306555,34.801419802,"Poor",1,17.92
-93.8600077373,33.6170337305,"Fair",2,44.87
-91.9077675237,36.2384951311,"Poor",1,29.82
-90.44201227,35.5326437088,"Poor",1,22.12
-91.3223004824,35.3466555956,"Poor",1,6.25
-91.1668175575,34.4341925301,"Poor",1,20.33
-92.8675944845,34.3551722217,"Poor",1,40.25
-92.395854891,35.3156506097,"Good",3,64.57
-94.1445391545,35.4276630188,"Poor",1,15.8
-93.1659806993,35.7686294133,"Poor",1,28.42
-94.3841128624,33.564254781,"Poor",1,35.72
-91.0878052749,36.1044868577,"Poor",1,37.77
-92.5906944465,36.3595761801,"Poor",1,0
-90.744208672,34.7740229751,"Poor",1,28.57
-91.4438666962,35.0588228085,"Poor",1,35.55
-93.422735301,35.094898206,"Poor",1,15.37
-93.8287447806,33.0455374746,"Fair",2,43.45
-90.7257149253,36.2844285073,"Poor",1,37.68
-92.1111697221,36.0632669996,"Poor",1,5.68
-94.3381947174,35.403915827,"Poor",1,10.1
-90.9879448279,34.0173346669,"Fair",2,46.72
-91.9669907603,36.1148864859,"Poor",1,30.38
-91.6168691441,35.5127034574,"Poor",1,13.25
-92.6790087607,33.2691479949,"Poor",1,0
-93.1463487696,36.4286116622,"Fair",2,42.45
-90.4575967147,34.7342162376,"Poor",1,14.68
-93.5261696218,35.6854853478,"Fair",2,43.47
-93.5081361891,33.8730461342,"Fair",2,41.93
-91.1547405856,33.713979063,"Poor",1,22.8
-92.5305145643,33.2092421999,"Fair",2,52.75
-92.6360474308,33.8992529079,"Poor",1,33.28
-92.8827383095,35.7149539772,"Good",3,65.7
-92.1992513899,35.2759561279,"Poor",1,11.45
-93.7973910191,34.7013002924,"Poor",1,26.4
-92.6639625057,34.6759509968,"Fair",2,32.38
-94.0032957176,33.2440058356,"Poor",1,29.52
-90.2342609182,35.2758404106,"Poor",1,19.88
-94.1883048577,35.069771259,"Poor",1,17.83
-91.3863698128,35.8850423796,"Poor",1,16.98
-91.3069501814,33.5924362499,"Poor",1,32.87
-93.202826833,34.3770681697,"Fair",2,33.25
-90.6133969853,36.3850292083,"Poor",1,3.75
-93.4237535741,34.066580582,"Fair",2,34.28
-92.9531519964,34.9220272174,"Poor",1,10.32
-93.7566946073,34.3115729214,"Fair",2,36.35
-91.6435015777,34.0993565158,"Poor",1,19.57
-92.370618058,36.397926563,"Poor",1,26.98
-90.6668177884,36.0793967582,"Poor",1,30.27
-94.1120330601,36.4278171699,"Poor",1,6.75
-92.1146143835,35.4469753571,"Poor",1,0
-94.1061137784,34.9995564561,"Poor",1,11.25
-94.2174430111,34.2565777527,"Poor",1,12.17
-91.1684852408,33.3205345224,"Poor",1,35.75
-94.0915490406,35.389509457,"Poor",1,3.68
-93.0944200311,35.2610228543,"Poor",1,11.43
-90.272600378,34.9611709796,"Poor",1,23.13
-93.4637046045,35.356313535,"Poor",1,14.55
-94.301551654,35.410040226,"Poor",1,5.75
-92.5207959288,33.1663556672,"Poor",1,24.37
-91.5470049295,35.8355468626,"Poor",1,16.67
-111.036743715,34.1925999441,"Fair",2,38.13
-113.218831098,34.3525910727,"Fair",2,45.48
-109.356450686,33.9124499093,"Poor",1,26.93
-109.434030838,33.7599413843,"Poor",1,34.35
-112.083704062,36.1178128015,"Fair",2,55.25
-109.198132125,32.8710070307,"Poor",1,21.6
-111.870611311,36.0876646106,"Poor",1,20.2
-111.864092584,36.4334622313,"Poor",1,23.13
-111.160629541,32.4088212237,"Poor",1,2.67
-109.494702955,33.2939508506,"Good",3,69.4
-110.074570891,34.5731015775,"Fair",2,46.73
-111.840670735,34.5313518445,"Good",3,51.82
-113.25407424,36.0891935102,"Poor",1,19.08
-112.067097185,34.2397540506,"Poor",1,10.63
-112.494615034,36.3010087757,"Poor",1,28.58
-112.324784095,34.8868360854,"Poor",1,19.38
-113.953447159,36.8608760044,"Poor",1,26.53
-111.828958674,36.1151486052,"Poor",1,8.33
-114.605302179,33.4763421243,"Poor",1,29.45
-111.997660327,36.0559301169,"Poor",1,9.52
-114.672328948,33.251303555,"Poor",1,28.08
-109.299405017,33.1054438322,"Good",3,81.05
-111.862892311,36.3193568888,"Poor",1,14.15
-110.91103343,33.6177200045,"Good",3,80.3
-114.320407604,32.7113681812,"Poor",1,6.35
-111.616944109,36.8469470909,"Poor",1,6.17
-113.31689753,36.0984444582,"Poor",1,13.02
-111.305821741,33.8736257024,"Good",3,63.53
-109.097495611,32.7196708495,"Poor",1,24.9
-112.556161015,36.4003065256,"Poor",1,21.9
-109.794078579,32.8933243305,"Fair",2,56.03
-109.299703385,33.0209818145,"Good",3,74.18
-109.462485505,33.0880874711,"Fair",2,47.85
-109.084092356,33.6758800112,"Fair",2,46.33
-111.046043279,31.5623542877,"Poor",1,5.88
-110.012123092,34.375984075,"Poor",1,13.03
-116.549748787,33.760551103,"Good",3,63.9
-122.788200563,38.5040808144,"Poor",1,33.68
-121.447195352,38.675423055,"Poor",1,29.45
-122.637233018,39.4420018861,"Good",3,84.72
-119.92925401,38.7320763382,"Fair",2,45.08
-120.054009058,34.7476835215,"Good",3,73.9
-123.374075492,40.6271139737,"Good",3,54.02
-119.536861407,37.6817086617,"Good",3,55.47
-122.764263958,42.0028565177,"Good",3,79.62
-119.343923189,38.3108173419,"Good",3,70.72
-119.249705372,34.5573287642,"Fair",2,43.77
-124.085849488,41.0903570235,"Good",3,71.47
-116.588742169,32.8996194696,"Poor",1,26.58
-121.674898365,37.3287798141,"Good",3,71.95
-119.231414645,36.9637051376,"Fair",2,46.5
-123.527959745,41.3185285221,"Poor",1,22.9
-119.019880775,34.356713227,"Fair",2,44.75
-123.011192386,38.8162717099,"Fair",2,52.6
-121.635207053,38.8083623761,"Poor",1,36.35
-122.930016275,40.802472332,"Good",3,58.8
-118.557053718,34.4249399595,"Poor",1,24.87
-123.526732128,41.539260575,"Poor",1,34.67
-120.604585892,41.489630549,"Poor",1,12
-120.964449707,39.466737201,"Good",3,67.82
-121.997419677,40.2190040809,"Good",3,57.03
-123.935564839,41.4563960639,"Poor",1,25.83
-121.268225481,40.0019052264,"Fair",2,42.13
-121.128761265,37.596376061,"Poor",1,18.2
-123.771013004,40.3184389532,"Poor",1,30.92
-121.35774516,38.5723422143,"Good",3,59.28
-122.899734757,41.843310693,"Good",3,53.1
-121.046559724,39.9052137555,"Good",3,60.9
-119.331650795,38.2711292561,"Good",3,76.47
-124.11739266,40.7240029407,"Poor",1,34.17
