DATE,UTC_TIME,MAG,LAT,LON,DEPTH
2019/06/02,01:41:39.42,2.63,34.0535,-117.499,3.2
2019/06/02,02:18:53.08,2.61,34.052,-117.49983,2.8
2019/06/02,02:19:48.58,3.1,34.04833,-117.50417,4.2
2019/06/02,20:01:55.34,2.55,33.8415,-117.09433,10.3
2019/06/02,20:04:55.50,3.06,33.84017,-117.09683,10.8
2019/06/02,23:36:36.03,3.21,34.0525,-117.50117,3.4
2019/06/03,00:08:39.26,2.6,34.05133,-117.50317,4.5
2019/06/03,00:14:04.75,2.63,34.05217,-117.50067,3.5
2019/06/04,04:34:02.56,3.2,33.95567,-116.82333,15.6
2019/06/05,10:47:18.80,4.28,32.82283,-118.48283,8.4
2019/06/05,14:32:09.58,4.3,32.83767,-118.50317,8.4
2019/06/05,14:37:35.84,2.63,32.80567,-118.45883,7.3
2019/06/05,16:13:43.17,2.86,32.855,-118.5095,7.5
2019/06/05,17:19:35.46,2.9,36.12067,-117.66983,2.6
2019/06/05,22:33:24.98,3.26,32.80617,-118.4885,6.1
2019/06/06,00:20:57.17,3.16,34.0475,-117.5055,4.6
2019/06/06,04:05:08.84,2.63,36.123,-117.66917,2.7
2019/06/06,11:18:09.55,2.84,32.88217,-118.50317,6.5
2019/06/06,11:25:36.31,3.49,32.83917,-118.47533,7.6
2019/06/07,04:29:16.15,2.65,34.04233,-117.50583,4.4
2019/06/07,10:51:50.51,2.69,34.04433,-117.5035,3.4
2019/06/07,12:04:16.87,2.82,34.03417,-117.503,2.8
2019/06/07,20:59:45.64,3.12,31.62567,-115.99583,10
2019/06/10,01:41:56.00,2.6,32.10917,-115.097,31
2019/06/10,02:41:11.07,3.46,35.40617,-118.845,13.1
2019/06/10,12:12:55.21,2.97,33.52233,-116.731,3.3
2019/06/10,15:45:15.09,2.94,31.572,-114.47517,6
2019/06/12,10:49:19.40,2.6,34.03283,-117.50767,2.6
2019/06/13,00:07:33.67,3.74,34.07367,-119.03983,18.5
2019/06/13,12:38:30.65,3.03,33.93967,-116.6745,17.3
2019/06/14,02:16:07.49,2.97,34.03367,-117.50233,3.4
2019/06/15,05:25:37.50,2.96,34.10017,-116.928,5
2019/06/16,01:48:53.27,3.26,36.11417,-117.673,2.4
2019/06/17,00:12:01.18,3.02,34.0505,-117.505,4.6
2019/06/17,00:16:39.23,2.56,34.04633,-117.50567,4.4
2019/06/19,13:34:14.42,2.65,33.10267,-116.52667,8.7
2019/06/19,23:57:44.99,3.15,34.98967,-116.459,1.6
2019/06/20,13:49:32.78,2.63,33.5275,-116.7325,3
2019/06/22,12:05:14.03,2.98,33.19883,-115.57833,4.9
2019/06/25,19:06:45.88,2.63,34.036,-117.50883,3.4
2019/06/26,01:19:57.59,2.86,31.62133,-114.49783,6
2019/06/26,01:35:46.42,2.72,33.4965,-116.699,14
2019/06/27,01:09:44.54,2.53,32.389,-115.24267,18
2019/06/27,06:21:20.51,3.24,32.2795,-115.22633,27
2019/06/27,20:50:46.75,3.02,34.02683,-117.56833,11.4
2019/07/01,21:17:00.67,2.66,35.48383,-120.01717,9.9
2019/07/02,22:03:21.14,2.75,35.05233,-118.93583,8.3
2019/07/02,22:12:07.59,2.52,35.05183,-118.93767,8.4
2019/07/02,22:21:08.62,3.35,35.05133,-118.93683,7.7
